Full Name,First Name,Last Name,Profile URL,Headline,Location,Current Company,Current Job Title,VMID
Sheila Warren,Sheila,Warren,https://linkedin.com/in/sheilawarren,Chief Executive Officer | Board Member | Strategic Advisor,United States,Bermuda Monetary Authority,Board Member,ACoAAAAA46oBq9RZz_DRmrq_gAZldI3W_HAfo2Q
Jo Ann Jenkins,Jo Ann,Jenkins,https://linkedin.com/in/joannjenkins,"Former Chief Executive Officer, AARP","Washington, District of Columbia, United States",AARP,Chief Executive Officer,ACoAAAuu0qcBWYrfMX5VQ9pnN_-Uf6BfneOaszs
Roberts Michael,Roberts,Michael,https://linkedin.com/in/roberts-michael-94932b19,CEO at MicroTec Industries Pvt Ltd,United States,SW SUGAR MILLS LIMITED,COO,ACoAAAPJJYkBeBat9HTYrbr6896qZrddmrMoMBo
Dan Kramer,Dan,Kramer,https://linkedin.com/in/danielgkramer,Chief Executive Officer at Equiniti,"New York, New York, United States",Equiniti,Chief Executive Officer,ACoAACgo_JEB-9I2wdp49-3swJKVYozA5sqBv4k
François Locoh-Donou,François,Locoh-Donou,https://linkedin.com/in/fldonou,President and CEO of F5,"Seattle, Washington, United States",F5,President and CEO,ACoAAAxLGVUBPiebf2qvbR505osz2nbjP-UJCLw
Kevin Shrapnell,Kevin,Shrapnell,https://linkedin.com/in/kshrapnell,COO at Playstack & CEO at Magic Fuel Games,,Greater Phoenix Area,Playstack,COO,ACoAAABCBxcBWWl7ZxT725Gx-ynNEKn-M7TtPz8
Adam Selipsky,Adam,Selipsky,https://linkedin.com/in/adamselipsky,Former CEO at Amazon Web Services (AWS). Former President and CEO at Tableau.,Greater Seattle Area,Amazon Web Services (AWS),CEO,ACoAAAC0y5YB1d3L356Yaf3g3Tb5PR4O7scFb5o
Debra Crew,Debra,Crew,https://linkedin.com/in/debra-crew-159333151,Former Chief Executive Officer at Diageo,United States,"Stanley Black & Decker, Inc.",Board Member,ACoAACSIvBUBtow3Qfz-nni4Fxr6LiWidcEdYjY
Terri Lee,Terri,Lee,https://linkedin.com/in/terri-lee-5b739131,President and Chief Executive Officer,"Atlanta, Georgia, United States",Atlanta Housing,President and Chief Executive Officer,ACoAAAakFxsBrcshwGv1AyzUy04JUF4eJGdUye4
Howard Chi,Howard,Chi,https://linkedin.com/in/howardchi,Chief Executive Officer | Board Member | Published Author | Forbes Council | Award Winning Top 100 People in Finance | Speaker,San Francisco Bay Area,HPDA Ventures,Chief Executive Officer,ACoAAACRZ4cBY9dPIdyHc-rPM1qaL427pMYYxdM
Carl H.,Carl,H.,https://linkedin.com/in/carlherberger,Chief Executive Officer (CEO) at Corero Network Security,"Media, Pennsylvania, United States",Corero Network Security,Chief Executive Officer,ACoAAABHeQ8BmBukqRG0DZrf7XuYk4q_DoyyuHA
Robert L. Reynolds,Robert L.,Reynolds,https://linkedin.com/in/robertlreynolds1,"President and CEO at Putnam Investments and Chair of Great-West Lifeco U.S., author of ""From Here to Security""","Boston, Massachusetts, United States",Putnam Investments,President and CEO,ACoAAAHmK2MB3uJkcKVLOQ7Pe0TVcXkpOfGQiDM
Steven Berry,Steven,Berry,https://linkedin.com/in/stevenmberry,Chief Executive Officer | Chief Operating Officer | Executive-Level | Board Member | Interim Leadership | Consulting | Start-Ups | Turn-Arounds | M&A,United States,Wharton Executive Education,President - WEEAC Board of Directors,ACoAAAE_ZsIBeO2HMl5WbD8AUi4KfRG2g-FHIwE
Peter McGuinness,Peter,McGuinness,https://linkedin.com/in/peterjmcguinness,"Chief Executive Officer, Bel North America",New York City Metropolitan Area,Bel,"Chief Executive Officer, Bel North America",ACoAABizZ2sByEDDtTKXO5OSfHV-gJ1kh17S2fo
Mordy Levine,Mordy,Levine,https://linkedin.com/in/mordy-levine-ba2b65,Chief Exit Officer. I advise owners to ensure they maximize proceeds when they sell their company...,"San Diego, California, United States",Exit Strategy Mastery,Managing Partner,ACoAAAAr0moBJdpWFY-fUPwlERE7k-jRF0vYdro
Peter Zaffino,Peter,Zaffino,https://linkedin.com/in/peter-zaffino,"Chairman & Chief Executive Officer, AIG","New York, New York, United States",AIG,"Chairman & Chief Executive Officer, AIG",ACoAAA1H8c4ByU1yODWEIQCiv9OCkL1_wZipdXM
Bonnie Barczykowski,Bonnie,Barczykowski,https://linkedin.com/in/bonniebarczykowski,CEO of Girl Scouts of the USA,United States,Girl Scouts of the USA,Chief Executive Officer,ACoAAAQrArUBKNRKyYTMwQTI_5cjPes1h3afqxY
Jennifer Rumsey,Jennifer,Rumsey,https://linkedin.com/in/jennifer-rumsey,Chair and Chief Executive Officer at Cummins Inc.,"Columbus, Indiana, United States",Cummins Inc.,Chair & Chief Executive Officer,ACoAAAxHPmMBv1azFEpOEupLOKUuebx5QfPBF-4
Anne White,Anne,White,https://linkedin.com/in/annewhite09,Fractional COO and CHRO | Consultant | Speaker | ACC Coach to Leaders | Member @ Chief,"Jacksonville, Florida, United States",Impact Lab,Founder and CEO,ACoAAADj7-0Bb-1br8EWNv8Ii2getCJ8wWjnr4E
Isaac M.,Isaac,M.,https://linkedin.com/in/be-great,Co CEO at 321 The Agency,"Lake Mary, Florida, United States",321 The Agency,Co-Chief Executive Officer,ACoAAA9ZmdABK_DHpTwkarGtXnpUMeVsGFy7ZqM
Joe Krueger,Joe,Krueger,https://linkedin.com/in/jekrueger,Process Optimization Advisor | 20+ Year C-Suite Veteran | Helping Companies Streamline Operations...,"Chicago, Illinois, United States",Inspira Consultancy,President,ACoAAAGffFMBqzlwf1io1E0wySaymVxY3yRY-6E
Chris Boerner,Chris,Boerner,https://linkedin.com/in/christopherboerner,Board Chair and Chief Executive Officer at Bristol Myers Squibb | Patient-centric | Equity-driven...,United States,Bristol Myers Squibb,Board Chair and Chief Executive Officer,ACoAAAEEZeEBTtAwpLYSxEvdAE4CWWntx1fEAgE
Pietro Gorlier,Pietro,Gorlier,https://linkedin.com/in/pietro-gorlier-4579ab2,CEO at Comau,United States,Comau,Chief Executive Officer,ACoAAACAwsMBgZIhmjVDHO746swk0w1uv0JUpcQ
Gina M. Bonetti JD MBA MHA,Gina M.,Bonetti JD MBA MHA,https://linkedin.com/in/gina-m-bonetti-jd-mba-mha-a87823a4,President & Chief Executive Officer,United States,Community Health Centers NA,President & Chief Executive Officer,ACoAABYw3EcBj0XjihyoP3CGzWcmFewU6X-o6ps
Marty Parker,Marty,Parker,https://linkedin.com/in/martyparker,LinkedIn Top Voice | UGA Senior Lecturer | Founder & CEO | Helping Students & Companies Grow...,"Marietta, Georgia, United States",Adæpt Advising,Founder and CEO,ACoAAADgT4sBDeV7aoLX6fPieIalrvt7iLd6K0s
deborah magbegor,deborah,magbegor,https://linkedin.com/in/deborahmagbegor,Chief Executive Officer at DEBLON INCORPORATED,"Georgia, United States",DEBLON INCORPORATED,Chief Executive Officer,ACoAAAiphacBHlMW6i_QXRuwFr1a5vlNBqsRyU4
Dan Porter,Dan,Porter,https://linkedin.com/in/danporter,CEO at Overtime,"New York, New York, United States",Overtime,CEO,ACoAAAABMkgBl7HKfAnF0hy8QI6OaVb9hZVgkAo
Dani Diamond,Dani,Diamond,https://linkedin.com/in/dani-diamond-1674bb,Founder and CEO at Hall of Flowers,Austin, Texas Metropolitan Area,Hall of Flowers,Founder,ACoAAAAS9h8BCFUdjPhKYpGE1ODr7DtSSkt3FWs
"David H. Stevens, CMB",David H.,"Stevens, CMB",https://linkedin.com/in/dhstevens,Chief Executive Officer at Mountain Lake Consulting, INC,"Moneta, Virginia, United States",Mountain Lake Consulting, INC,Chief Executive Officer,ACoAAABNYX4BpMa08s9RCbLIT08B5FDDnXyOQZs
Calvin Butler,Calvin,Butler,https://linkedin.com/in/calvin-butler-jr,President and Chief Executive Officer at Exelon,Greater Chicago Area,Exelon,President and Chief Executive Officer,ACoAAAK8ZvABLjyRF0CRPQXDPcngHUNJwQbgvuk
Daniel Newman,Daniel,Newman,https://linkedin.com/in/daniellouisnewman,"CEO at The Futurum Group. Chief Analyst at Futurum Research. Co-Host of The Six Five Podcast and The Six Five Summit. Co-founder of Signal65.","Austin, Texas, United States",The Futurum Group,Chief Executive Officer,ACoAAAF_hSABQtYgqX1TCNv4BRet6GH_RTVMbko
